affection.n 8 :: article ; institution ; instruction ; affectation ; enseignement ; famille ; considération ; participation ; disposition ; préférence
montée.n 153 :: pente ; descente ; chute ; vie ; douleur ; côte ; tâche ; route ; montagne ; suite
montée.n 189 :: vie ; lecture ; sécurité ; visite ; pratique ; promenade ; conduite ; baignade ; croissance ; socialisation
montée.n 194 :: nécessaire ; délicat ; promotion ; contraire ; manifestation ; fort ; présentation ; chose ; conséquence ; preuve
montée.n 250 :: descente ; hausse ; suite ; progression ; pente ; chute ; côte ; courbe ; poussée ; direction
montée.n 285 :: évolution ; progression ; ascension ; progressif ; croissance ; poussée ; tendance ; pente ; augmentation ; puissance
obscur.a 22 :: sombre ; étrange ; mystérieux ; profond ; étonnant ; honteux ; lumineux ; paradoxal ; triste ; discret
obscur.a 43 :: sombre ; mystérieux ; souterrain ; noir ; cacher ; secret ; froid ; profond ; transparent ; couvert
obscur.a 61 :: sombre ; opposer ; profond ; officiel ; rapprocher ; adverse ; invisible ; cacher ; extérieur ; ennemi
obscur.a 74 :: déserte ; sombre ; aveugle ; muet ; inconnu ; silencieux ; noir ; tranquille ; close ; profond
obscur.a 95 :: discret ; sombre ; inconnu ; fort ; honteux ; profond ; glorieux ; ignorer ; muet ; malheureux
obscur.a 165 :: limité ; important ; juste ; profond ; faible ; flou ; fort ; impressionnant ; étonnant ; faire
obscur.a 247 :: sombre ; hermétique ; opaque ; occulte ; secret ; étranger ; mystérieux ; incertain ; abstraire ; profond
obscur.a 255 :: secret ; mystérieux ; sombre ; incertain ; mystère ; opaque ; hermétique ; énigme ; énigmatique ; cacher
obscur.a 284 :: confus ; opaque ; hermétique ; sombre ; mystérieux ; élaborer ; incertain ; complexe ; intéressant ; compliqué
obscur.a 295 :: sombre ; confus ; noir ; couvert ; ténébreux ; transparent ; incertain ; incident ; silencieux ; mystérieux
riche.a 31 :: matière ; source ; histoire ; vie ; déjà ; expérience ; abondant ; mémoire ; documentation ; page
riche.a 46 :: enrichissant ; diversifier ; charger ; complexe ; visiter ; intéressant ; important ; enrichir ; développer ; dense
riche.a 49 :: enrichir ; large ; complexe ; enrichissant ; complet ; fort ; généreux ; menu ; numérique ; canal
riche.a 102 :: fortuné ; enrichi ; pauvre ; milliardaire ; privilégier ; célèbre ; heureux ; généreux ; grand ; aisé
riche.a 118 :: développer ; pauvre ; industrialisé ; avancé ; tiers ; occidental ; faible ; producteur ; pays ; clé
riche.a 209 :: charger ; enrichir ; généreux ; fournir ; prolifique ; régulier ; fort ; maigre ; nourrir ; intense
riche.a 222 :: grand ; bel ; bon ; ancien ; nombreux ; important ; vieux ; simple ; long ; étonnant
riche.a 293 :: enrichir ; charger ; nourrir ; complexe ; généreux ; fort ; fécond ; intense ; développer ; fournir
riche.a 294 :: enrichir ; fort ; charger ; nourrir ; remplir ; enrichissant ; issue ; tirer ; dense ; plein
riche.a 296 :: charger ; haut ; fournir ; fort ; prolifique ; intéressant ; fertile ; marquer ; intense ; lourd
taper.v 28 :: tape ; tas ; bouffe ; plein ; chier ; chie ; foutre ; tirer ; traire ; gros
taper.v 34 :: clique ; frappe ; travailler ; regarde ; composer ; trouver ; appuyer ; touche ; gratter ; recherche
taper.v 76 :: passer ; donne ; paie ; trouver ; signe ; faire ; classe ; bon ; présente ; tenir
taper.v 82 :: colle ; cogne ; donne ; prendre ; trouver ; payer ; passer ; vouloir ; fiche ; cale
taper.v 83 :: marque ; trouver ; voir ; savoir ; travailler ; passer ; cherche ; venir ; vouloir ; connaître
taper.v 182 :: enseigne ; expliquer ; donne ; apprendre ; lit ; effectuer ; répéter ; étudier ; énonce ; préparer
taper.v 221 :: frappe ; main ; touche ; min ; doigt ; piqu ; gros ; donne ; frotte ; frapper
taper.v 237 :: choisir ; utiliser ; composer ; trouver ; enregistrer ; obtenir ; passer ; valide ; retrouver ; place
taper.v 249 :: colle ; appuyer ; place ; frotte ; ensuite ; frappe ; main ; donne ; travailler ; regarde
taper.v 259 :: noter ; saisir ; consulter ; voir ; ajouter ; inscrire ; lire ; utiliser ; donner ; modifier
vaisseau.n 68 :: plan ; conteneur ; avion ; navire ; système ; station ; tunnel ; projet ; collection ; destination
vaisseau.n 91 :: navire ; fondation ; ligne ; transport ; montagne ; bâtiment ; âme ; point ; île ; ouvrage
vaisseau.n 104 :: sous-marin ; cinéma ; projet ; système ; film ; programme ; soleil ; navire ; château ; théâtre
vaisseau.n 122 :: article ; petit ; commerce ; moyen ; japonais ; détail ; service ; logement ; vase ; corps
vaisseau.n 190 :: module ; corps ; véhicule ; navire ; engin ; spatial ; système ; conteneur ; coeur ; contenir
vaisseau.n 193 :: construction ; organe ; fortification ; caractéristique ; propriété ; cellule ; caractère ; produit ; bâtiment ; chambre
vaisseau.n 238 :: article ; produit ; être ; personnage ; corps ; ouvrage ; fruit ; objet ; joueur ; projet
vaisseau.n 256 :: dernier ; sang ; participant ; système ; produit ; corps ; véhicule ; cours ; sanguin ; cellulaire
vaisseau.n 270 :: navire ; bateau ; voilier ; bâtiment ; corps ; radeau ; engin ; embarcation ; brick ; objet
vaisseau.n 274 :: navire ; titan ; dieu ; pouvoir ; peuple ; commandant ; pilote ; maître ; croiseur ; commandement
vaseux.a 3 :: superficiel ; vain ; douteux ; profond ; sembler ; creux ; cul ; faux ; bidon ; capillaire
vaseux.a 4 :: bon ; faux ; facile ; joli ; aller ; voire ; petit ; sérieux ; gros ; côté
vaseux.a 40 :: eau ; extrêmement ; généralement ; légèrement ; plat ; té ; également ; doux ; su ; vraiment
vaseux.a 53 :: meuble ; géologique ; humide ; calcaire ; déjà ; minéral ; extrêmement ; parfaitement ; rocheux ; vraiment
vaseux.a 62 :: légèrement ; léger ; eau ; fin ; pal ; rétro ; sexy ; aqueux ; blonde ; vague
vaseux.a 92 :: frais ; doux ; entrer ; fin ; long ; léger ; profond ; meilleur ; propre ; blanc
vaseux.a 112 :: doux ; lent ; aller ; déjà ; fin ; également ; loin ; mystérieux ; bon ; long
vaseux.a 124 :: partout ; fort ; mieux ; loin ; déjà ; sûr ; doux ; temps ; vite ; tard
vaseux.a 216 :: creux ; douteux ; faux ; vain ; superficiel ; long ; sembler ; facile ; gras ; théorique
vaseux.a 288 :: participation ; chambre ; gouvernement ; personne ; nouveau ; ensemble ; information ; politique ; conseil ; développement
