affection.n 8 :: maladie ; affectation ; disposition ; dernier ; occasion ; épreuve ; opération ; institution ; amitié ; extrémité
montée.n 153 :: descente ; ascension ; pente ; côte ; suite ; monte ; poussée ; montagne ; progression ; chute
montée.n 189 :: vie ; conduite ; descente ; monte ; pratique ; construction ; visite ; prise ; service ; vente
montée.n 194 :: promotion ; législation ; déclaration ; disponibilité ; présentation ; responsabilité ; protection ; conclusion ; victoire ; traitement
montée.n 250 :: descente ; suite ; chute ; poussée ; côte ; veille ; pointe ; vie ; progression ; hausse
montée.n 285 :: ascension ; accession ; croissance ; poussée ; élévation ; tendance ; évolution ; naissance ; progression ; conversion
obscur.a 22 :: exact ; paradoxal ; absurde ; éloquer ; confus ; opaque ; ridicule ; incomplet ; étrange ; ambigu
obscur.a 43 :: sombre ; secret ; mystérieux ; cacher ; couvert ; nocturne ; noir ; souterrain ; vert ; froid
obscur.a 61 :: opposer ; sombre ; cacher ; droit ; ennemi ; rebelle ; actif ; adverse ; ouest ; profond
obscur.a 74 :: sombre ; déserte ; muet ; noir ; close ; incertain ; clair ; confus ; interdire ; remplir
obscur.a 95 :: noble ; sombre ; ignorer ; petit ; savant ; illustre ; grand ; discret ; malheureux ; moine
obscur.a 165 :: passer ; inconnu ; petit ; être ; faire ; secret ; grand ; surprenant ; entrer ; garde
obscur.a 247 :: hermétique ; sombre ; aride ; opaque ; sec ; épais ; illisible ; profond ; incompréhensible ; inutile
obscur.a 255 :: sombre ; mystérieux ; secret ; actuel ; préciser ; incertain ; chrétien ; cacher ; ancien ; diffus
obscur.a 284 :: confus ; incompréhensible ; sombre ; incertain ; intéressant ; complexe ; compliqué ; illisible ; développer ; simpliste
obscur.a 295 :: profond ; sombre ; noir ; mystérieux ; sonore ; diffus ; ténébreux ; sourd ; opaque ; bleu
riche.a 31 :: haut ; formidable ; réel ; vrai ; magnifique ; grand ; important ; bon ; fort ; large
riche.a 46 :: diversifier ; complexe ; développer ; marquer ; charger ; dense ; intéressant ; enrichissant ; prolifique ; sensible
riche.a 49 :: dense ; complet ; enrichir ; long ; volumineux ; religieux ; large ; détailler ; fort ; lourd
riche.a 102 :: fortuné ; enrichi ; aisé ; heureux ; pauvre ; grand ; nanti ; milliardaire ; privilégier ; généreux
riche.a 118 :: développer ; industrialisé ; pauvre ; malade ; avancé ; excédentaire ; tiers ; endetter ; européen ; concerner
riche.a 209 :: enrichir ; charger ; fournir ; pauvre ; nourrir ; haut ; complet ; remplir ; copieux ; prolifique
riche.a 222 :: bel ; grand ; bon ; ancien ; nombreux ; élégant ; vrai ; vieux ; petit ; joli
riche.a 293 :: complexe ; enrichir ; fort ; généreux ; complet ; intense ; dense ; charger ; nourrir ; profond
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; bel ; nourrir ; lourd ; fécond ; faire ; marquer
riche.a 296 :: charger ; fournir ; haut ; prolifique ; marquer ; fertile ; fort ; pauvre ; intense ; remplir
taper.v 28 :: tape ; bouffe ; tas ; gros ; plein ; chiqu ; shooter ; jus ; tirer ; taire
taper.v 34 :: frappe ; touche ; marque ; plante ; obtenir ; appuyer ; donne ; place ; piqu ; zone
taper.v 76 :: jour ; bon ; truc ; marrant ; conseil ; passer ; numéro ; nom ; droit ; signe
taper.v 82 :: payer ; prendre ; cogne ; colle ; battre ; trouver ; mettre ; paie ; vouloir ; donne
taper.v 83 :: connaître ; savoir ; cherche ; trouver ; comprendre ; croire ; travailler ; dire ; demande ; vouloir
taper.v 182 :: frappe ; ensuite ; donne ; exemple ; appuyer ; frapper ; écoute ; utiliser ; venir ; colle
taper.v 221 :: frappe ; cogne ; piqu ; touche ; donne ; marche ; coup ; gratter ; mange ; coin
taper.v 237 :: utiliser ; enregistrer ; obtenir ; trouver ; passer ; ajouter ; retrouver ; valide ; place ; choisir
taper.v 249 :: colle ; frappe ; appuyer ; piqu ; file ; danse ; donne ; claque ; tourne ; cote
taper.v 259 :: noter ; saisir ; ajouter ; inscrire ; utiliser ; voir ; enregistrer ; consulter ; compléter ; entrer
vaisseau.n 68 :: système ; navire ; plan ; emplacement ; bateau ; sous-marin ; tunnel ; endroit ; avion ; conteneur
vaisseau.n 91 :: ligne ; lieu ; enfant ; navire ; personnage ; point ; transport ; esprit ; homme ; montagne
vaisseau.n 104 :: film ; cinéma ; monde ; théâtre ; futur ; système ; gouvernement ; groupe ; roman ; sous-marin
vaisseau.n 122 :: petit ; vase ; moyen ; organisme ; article ; château ; rocher ; peuple ; groupe ; service
vaisseau.n 190 :: module ; programme ; navire ; véhicule ; voyage ; corps ; matériel ; système ; ruban ; centre
vaisseau.n 193 :: valve ; connexion ; organe ; cellule ; artère ; structure ; muscle ; caractéristique ; ligne ; protéine
vaisseau.n 238 :: article ; joueur ; personnage ; produit ; être ; objet ; projet ; ouvrage ; équipement ; compagnon
vaisseau.n 256 :: dernier ; sanguin ; produit ; principal ; muscle ; véhicule ; membre ; organe ; artère ; système
vaisseau.n 270 :: prévoir ; lift ; pliable ; navire ; subir ; parer ; rencontrer ; transférer ; vision ; hilaire
vaisseau.n 274 :: navire ; spatial ; joyau ; précieux ; module ; temporel ; futur ; galaxie ; compagnon ; temps
vaseux.a 3 :: sale ; profond ; mou ; gras ; bière ; propre ; bon ; foutre ; mettre ; pipi
vaseux.a 4 :: voire ; fin ; plat ; entrer ; technique ; in ; part ; vague ; tendre ; sombre
vaseux.a 40 :: plat ; entrer ; profond ; pouvoir ; rocheux ; creux ; sous-marin ; humide ; nu ; fin
vaseux.a 53 :: géologique ; intermédiaire ; petit ; compte ; spécial ; religieux ; propre ; comprendre ; réciproque ; électrique
vaseux.a 62 :: pal ; aqueux ; bouche ; léger ; masculin ; moyennement ; doux ; joueur ; gourmand ; brute
vaseux.a 92 :: année ; couche ; boisson ; entrer ; bière ; citer ; grand ; fouille ; petit ; également
vaseux.a 112 :: bouché ; fatiguer ; mal ; gras ; malade ; gros ; mauvais ; propre ; légèrement ; nerveux
vaseux.a 124 :: marier ; in ; voir ; porto ; manuel ; monte ; manière ; do ; inter ; joseph
vaseux.a 216 :: superficiel ; douteux ; long ; binaire ; faux ; obscur ; vague ; creux ; dire ; théorique
vaseux.a 288 :: information ; professionnel ; meilleur ; jeune ; excellent ; renseignement ; nouveau ; avoir ; rencontre ; caractéristique
